id,sexo,data_nascimento,data_cadastro,cidade,sigla
72627,,2001-11-16,2022-11-23T11:24:23,Espírito Santo do Turvo,SP
85325,m,1995-07-18,2023-02-18T20:16:56,São Paulo,SP
103498,m,1980-12-11,2023-03-31T13:39:34,São Paulo,SP
62037,m,1987-04-10,2022-07-10T15:38:33,Armação de Búzios,RJ
108047,m,1994-09-07,2023-04-08T14:40:13,São Paulo,SP
110557,m,1991-10-03,2023-04-13T08:25:24,São Paulo,SP
113905,m,1993-10-06,2023-04-16T18:41:24,São Paulo,SP
86684,m,1985-09-09,2023-02-26T20:26:00,São Paulo,SP
58620,f,2000-03-12,2022-04-17T19:44:45,Salvador,BA
108780,m,1983-05-03,2023-04-09T20:59:46,São Paulo,SP
84803,m,1998-02-28,2023-02-15T01:40:32,São Paulo,SP
35664,m,1985-07-20,2020-04-29T21:37:06,Manaus,AM
101900,m,1995-09-05,2023-03-28T23:31:47,São Paulo,SP
92514,m,1993-06-02,2023-03-13T17:57:40,São Paulo,SP
29719,m,1980-01-17,2020-01-06T19:48:05,São Sebastião,SP
43776,m,1958-04-08,2021-01-06T11:42:27,Feira de Santana,BA
57476,m,1991-07-06,2022-03-26T14:51:45,São Paulo,SP
68545,,2001-07-05,2022-11-02T21:23:06,São Paulo,SP
97716,m,2001-04-11,2023-03-22T14:37:13,São Paulo,SP
90573,m,1997-08-24,2023-03-09T10:35:45,São Paulo,SP
106609,m,1985-10-07,2023-04-05T21:27:25,São Paulo,SP
98849,m,1987-05-26,2023-03-24T14:16:56,São Paulo,SP
108013,m,1991-04-25,2023-04-08T13:23:32,São Paulo,SP
98450,m,2000-07-02,2023-03-23T18:38:10,São Paulo,SP
74356,,1990-10-25,2022-12-01T23:01:35,São Paulo,SP
103428,m,2003-05-21,2023-03-31T11:03:14,São Paulo,SP
23318,m,1991-07-04,2019-09-30T22:53:42,Aparecida de (Goiânia),GO
57670,m,1990-05-20,2022-03-30T17:38:23,São Paulo,SP
98042,m,2003-11-23,2023-03-23T00:41:54,São Paulo,SP
106689,m,1997-11-17,2023-04-05T22:48:04,São Paulo,SP
44678,m,1994-03-24,2021-02-17T19:47:23,Barão de Geraldo,SP
104112,m,1995-03-06,2023-04-01T15:27:15,São Paulo,SP
101692,m,1995-06-10,2023-03-28T18:55:38,São Paulo,SP
113996,m,1996-12-24,2023-04-16T19:44:26,São Paulo,SP
106769,m,1994-11-17,2023-04-06T01:48:29,São Paulo,SP
98790,m,1982-12-03,2023-03-24T12:17:53,São Paulo,SP
77542,,2004-04-25,2022-12-10T15:47:49,São Paulo,SP
90661,m,2000-09-15,2023-03-09T14:16:27,São Paulo,SP
67863,,1984-12-06,2022-10-22T22:25:18,São Paulo,SP
51764,m,1996-05-16,2021-12-11T16:38:11,Ponta Grossa,PR
70060,,1966-05-13,2022-11-11T17:51:16,Olinda,PE
107606,m,2001-08-08,2023-04-07T18:09:52,São Paulo,SP
62748,,1994-01-04,2022-07-28T15:23:43,Goiânia,GO
114445,m,1993-01-31,2023-04-17T12:00:27,São Paulo,SP
59114,f,1978-09-16,2022-04-24T18:34:46,São Paulo,SP
90858,m,2001-07-07,2023-03-10T01:58:36,São Paulo,SP
42328,m,1997-09-04,2020-11-03T21:11:10,Santo André,SP
29292,m,1989-04-19,2020-01-01T19:18:01,São Paulo,SP
107524,m,2000-01-07,2023-04-07T16:09:36,São Paulo,SP
73943,,1995-03-22,2022-11-30T15:43:17,São Paulo,SP
110258,m,1996-11-11,2023-04-12T14:58:52,São Paulo,SP
88546,m,1999-09-30,2023-03-03T08:00:11,São Paulo,SP
72058,,2000-05-14,2022-11-20T07:21:19,São Paulo,SP
92481,m,2003-12-11,2023-03-13T17:15:38,São Paulo,SP
52686,m,1972-01-02,2021-12-21T23:34:45,São Paulo,SP
66064,,1984-10-26,2022-09-27T14:02:27,São Paulo,SP
104300,m,1990-10-30,2023-04-01T21:17:30,São Paulo,SP
54144,m,2000-09-01,2022-01-14T17:16:55,Belo Horizonte,MG
57265,m,1999-03-01,2022-03-21T12:21:36,São Paulo,SP
94171,m,1999-06-10,2023-03-16T12:46:04,São Paulo,SP
75848,f,1993-04-02,2022-12-06T10:31:18,Campina Grande,PB
4380,m,1992-04-06,2018-05-11T17:19:17,São Paulo,SP
53597,m,1997-04-24,2022-01-05T13:32:06,São Paulo,SP
108790,m,1972-11-11,2023-04-09T21:12:15,São Paulo,SP
105878,m,2004-02-12,2023-04-04T17:17:11,São Paulo,SP
55185,m,1989-09-09,2022-01-31T23:16:06,Olinda,RJ
89348,m,2001-03-25,2023-03-05T12:39:31,São Paulo,SP
93473,m,1997-10-03,2023-03-15T06:23:48,São Paulo,SP
110333,m,1989-05-15,2023-04-12T20:49:48,São Paulo,SP
93736,m,1991-12-20,2023-03-15T18:38:44,São Paulo,SP
115923,m,2000-05-12,2023-04-18T18:07:06,São Paulo,SP
70311,m,1992-12-22,2022-11-12T13:40:21,São Paulo,SP
8445,m,1978-10-05,2018-10-28T14:56:46,Curitiba,PR
105529,m,2005-02-27,2023-04-03T23:19:03,São Paulo,SP
107296,m,1993-02-21,2023-04-07T04:41:37,São Paulo,SP
108732,m,2000-01-25,2023-04-09T19:50:11,São Paulo,SP
110096,m,1996-09-03,2023-04-12T03:08:35,São Paulo,SP
98363,m,1987-11-04,2023-03-23T16:13:49,São Paulo,SP
112353,m,2000-09-30,2023-04-15T14:51:02,São Paulo,SP
104135,m,1998-08-19,2023-04-01T15:51:29,São Paulo,SP
101466,m,1997-12-21,2023-03-28T13:38:57,São Paulo,SP
96423,m,2004-02-03,2023-03-20T13:39:31,São Paulo,SP
88776,m,2003-09-21,2023-03-03T16:46:11,São Paulo,SP
105011,m,2003-12-21,2023-04-03T10:47:23,São Paulo,SP
115668,m,1991-10-26,2023-04-18T13:16:40,São Paulo,SP
27877,m,1996-08-11,2019-12-10T15:11:22,Belo Horizonte,MG
111317,m,1994-02-07,2023-04-14T10:30:52,São Paulo,SP
59331,m,1993-06-04,2022-04-28T20:50:08,Alfenas,MG
89070,m,2003-04-25,2023-03-04T22:21:55,São Paulo,SP
51552,m,2001-11-06,2021-12-09T10:19:35,Curitiba,PR
719,m,1973-06-02,2017-10-17T23:31:44,Manaus,AM
114163,m,2002-11-02,2023-04-16T21:33:08,São Paulo,SP
84866,m,1998-12-23,2023-02-16T12:02:53,São Paulo,SP
55504,m,1980-10-21,2022-02-10T15:05:26,Itapeva,SP
32748,m,1994-05-24,2020-02-23T16:02:24,Curitiba,PR
91988,m,1997-12-02,2023-03-12T17:09:45,São Paulo,SP
100965,m,1992-08-25,2023-03-27T18:44:48,São Paulo,SP
88367,m,2000-07-13,2023-03-02T23:04:53,São Paulo,SP
110705,m,1999-11-05,2023-04-13T11:47:50,São Paulo,SP
29386,m,1968-06-19,2020-01-02T22:04:48,São Paulo,SP
102318,m,1986-06-12,2023-03-29T16:56:33,São Paulo,SP
78590,,1971-04-29,2022-12-13T13:27:43,Magé,RJ
58303,m,2000-12-26,2022-04-11T15:19:27,Guarapuava,PR
65733,,1987-01-19,2022-09-22T13:16:01,São Gonçalo,RJ
89930,m,2002-03-06,2023-03-07T12:46:25,São Paulo,SP
52348,m,1994-07-17,2021-12-17T15:23:03,Caravelas,BA
65320,m,1979-08-10,2022-09-14T11:33:08,São Paulo,SP
87368,m,2001-05-14,2023-03-01T16:18:10,São Paulo,SP
70021,,2002-06-11,2022-11-11T15:22:51,São Paulo,SP
91518,m,1997-12-04,2023-03-11T19:45:28,São Paulo,SP
105667,m,2004-01-19,2023-04-04T09:24:03,São Paulo,SP
81261,m,1998-01-12,2023-01-09T17:59:48,São Paulo,SP
63133,f,2002-09-10,2022-08-01T22:17:39,São Paulo,SP
101058,m,1991-10-04,2023-03-27T20:55:58,São Paulo,SP
71253,,2003-10-26,2022-11-16T08:42:53,Salvador,BA
95296,m,1987-08-22,2023-03-18T15:19:50,São Paulo,SP
102163,m,1994-07-28,2023-03-29T12:48:34,São Paulo,SP
94428,m,1996-07-12,2023-03-16T21:29:07,São Paulo,SP
28863,f,2000-03-23,2019-12-26T17:56:02,São Paulo,SP
114545,m,1991-07-14,2023-04-17T13:24:33,São Paulo,SP
93534,m,1994-09-30,2023-03-15T10:59:28,São Paulo,SP
1288,m,1994-09-06,2017-10-29T22:39:18,São Paulo,SP
104625,m,1995-09-26,2023-04-02T19:17:37,São Paulo,SP
92507,m,1997-04-12,2023-03-13T17:49:03,São Paulo,SP
115247,m,1994-08-17,2023-04-17T20:42:15,São Paulo,SP
57153,f,1998-03-13,2022-03-18T19:29:40,Cascavel,PR
95124,m,1999-04-15,2023-03-18T01:04:38,São Paulo,SP
106211,m,2001-09-13,2023-04-05T06:13:43,São Paulo,SP
96675,m,2000-04-28,2023-03-20T20:17:09,São Paulo,SP
53657,m,1985-11-08,2022-01-05T23:52:50,Caucaia do Alto,SP
90963,m,1998-07-19,2023-03-10T11:19:27,São Paulo,SP
95623,m,2000-07-15,2023-03-19T01:39:33,São Paulo,SP
12922,m,1990-05-03,2019-01-22T21:37:06,Curitiba,PR
114916,m,1992-12-03,2023-04-17T17:49:35,São Paulo,SP
44892,,1984-08-13,2021-02-27T12:53:58,Serra,ES
107956,m,1986-12-20,2023-04-08T11:42:04,São Paulo,SP
107896,m,1993-05-08,2023-04-08T07:38:19,São Paulo,SP
109987,m,1998-10-17,2023-04-11T22:25:59,São Paulo,SP
91975,m,1996-01-10,2023-03-12T16:41:03,São Paulo,SP
88498,m,2002-08-18,2023-03-03T02:51:05,São Paulo,SP
3252,m,1989-12-25,2018-02-10T14:23:11,Telêmaco Borba,PR
87379,m,1995-03-19,2023-03-01T16:33:07,São Paulo,SP
95864,m,1998-11-23,2023-03-19T14:59:29,São Paulo,SP
40081,m,1978-03-03,2020-07-12T14:56:39,Salvador,BA
113611,m,2001-07-15,2023-04-16T15:33:42,São Paulo,SP
39950,m,1987-10-16,2020-07-08T16:58:46,Joinville,SC
100725,m,2002-02-10,2023-03-27T12:44:45,São Paulo,SP
114472,m,1998-09-22,2023-04-17T12:20:49,São Paulo,SP
97847,m,1997-07-29,2023-03-22T19:34:57,São Paulo,SP
88994,m,1966-03-15,2023-03-04T19:54:44,São Paulo,SP
86967,m,2001-02-15,2023-02-28T16:27:44,São Paulo,SP
59523,f,1993-08-09,2022-05-04T20:39:51,Curitiba,PR
111592,m,2001-10-20,2023-04-14T14:10:28,São Paulo,SP
72757,,2001-10-06,2022-11-23T20:48:53,São Paulo,SP
95046,m,1981-01-18,2023-03-17T22:50:53,São Paulo,SP
90812,m,2001-07-19,2023-03-10T00:17:11,São Paulo,SP
39679,,1998-07-15,2020-07-04T13:00:50,Nova Serrana,MG
105172,m,1996-10-18,2023-04-03T16:27:16,São Paulo,SP
100971,m,2000-08-16,2023-03-27T18:48:03,São Paulo,SP
43307,m,1996-09-05,2020-12-15T17:05:08,Poços de Caldas,MG
106117,m,2000-11-08,2023-04-04T23:09:16,São Paulo,SP
111443,m,1985-11-07,2023-04-14T12:10:08,São Paulo,SP
94390,m,2001-06-22,2023-03-16T20:29:09,São Paulo,SP
93011,m,1976-08-19,2023-03-14T13:11:58,São Paulo,SP
92786,m,1999-10-24,2023-03-14T00:26:21,São Paulo,SP
14960,m,1996-05-18,2019-03-26T18:04:46,São Paulo,SP
84898,m,1994-12-08,2023-02-16T14:40:07,São Paulo,SP
112719,m,1986-09-25,2023-04-15T20:44:45,São Paulo,SP
104736,m,1971-04-10,2023-04-02T21:12:05,São Paulo,SP
2869,m,1969-09-14,2018-01-09T15:27:25,Osasco,SP
75978,,1998-01-01,2022-12-06T16:28:36,Recife,PE
96465,m,1989-08-26,2023-03-20T14:45:13,São Paulo,SP
40864,m,2001-06-25,2020-08-13T18:49:53,Salvador,BA
45774,m,1990-01-17,2021-05-14T16:35:24,Curitiba,PR
107614,m,1994-06-07,2023-04-07T18:30:33,São Paulo,SP
82657,m,1997-02-03,2023-01-31T22:21:45,São Paulo,SP
110607,m,2000-05-01,2023-04-13T09:54:52,São Paulo,SP
67900,,1999-03-10,2022-10-23T11:35:33,São Paulo,SP
64785,f,1997-03-19,2022-09-07T12:43:04,São Paulo,SP
78290,,1992-06-17,2022-12-12T16:52:19,São Paulo,SP
41783,m,1999-01-10,2020-10-11T21:51:38,São Paulo,SP
52378,m,1970-07-30,2021-12-17T20:05:11,Montes Claros,MG
90205,m,1996-08-14,2023-03-08T08:46:59,São Paulo,SP
87483,m,1991-09-27,2023-03-01T19:41:49,São Paulo,SP
73192,,2001-02-28,2022-11-25T20:43:00,São Paulo,SP
56637,m,1981-08-28,2022-03-08T16:36:53,Sorocaba,SP
100535,m,2001-03-29,2023-03-27T00:33:53,São Paulo,SP
101468,m,1990-11-14,2023-03-28T13:41:55,São Paulo,SP
86852,m,1989-07-12,2023-02-27T21:37:41,São Paulo,SP
62960,,1991-08-29,2022-07-30T15:41:43,São Paulo,SP
90122,m,2004-08-14,2023-03-08T00:34:20,São Paulo,SP
73780,,1993-04-12,2022-11-29T19:02:01,Teresópolis,RJ
39643,m,1987-10-26,2020-07-04T01:40:34,Taboão da Serra,SP
58027,m,1972-05-13,2022-04-05T20:14:02,Guarulhos,SP
75564,,2004-06-12,2022-12-05T13:27:12,Brasília,DF
52211,m,1991-06-30,2021-12-16T16:48:04,Belo Horizonte,MG
22385,m,1950-04-14,2019-09-16T18:49:37,Goiânia,GO
88989,m,1997-10-18,2023-03-04T19:49:24,São Paulo,SP
83211,m,1996-10-12,2023-02-05T19:49:35,São Paulo,SP
70288,,1998-12-02,2022-11-12T11:56:44,São Paulo,SP
95840,m,1983-07-12,2023-03-19T14:23:41,São Paulo,SP
94644,m,2001-11-28,2023-03-17T09:03:38,São Paulo,SP
53019,m,1986-04-01,2021-12-26T01:12:59,Curitiba,PR
93847,m,1953-11-05,2023-03-15T20:47:51,São Paulo,SP
76203,,1996-02-23,2022-12-07T04:02:00,São Gonçalo,RJ
75614,,1998-06-24,2022-12-05T15:17:45,São Paulo,SP
99284,m,1990-10-14,2023-03-25T07:52:47,São Paulo,SP
79045,,1990-01-13,2022-12-14T16:19:02,Canoas,RS
18187,m,1991-11-21,2019-07-11T19:53:20,São Paulo,SP
99475,m,1986-11-25,2023-03-25T14:55:13,São Paulo,SP
6917,m,1995-06-16,2018-08-20T17:33:33,São Paulo,SP
89428,m,1995-06-04,2023-03-06T01:12:21,São Paulo,SP
87666,m,1981-10-15,2023-03-02T00:51:25,São Paulo,SP
99727,m,1989-09-02,2023-03-25T21:31:59,São Paulo,SP
87387,m,2001-08-13,2023-03-01T16:46:18,São Paulo,SP
4443,m,1981-08-30,2018-05-14T16:37:55,Curitiba,PR
84457,m,2000-07-16,2023-02-13T20:43:38,São Paulo,SP
27180,m,1954-07-24,2019-11-30T17:37:38,São Vicente,SP
56569,m,1981-08-04,2022-03-06T21:54:04,Caxias do Sul,RS
112355,m,1976-05-19,2023-04-15T14:52:36,São Paulo,SP
46323,m,1989-02-26,2021-06-23T23:58:06,Assis,SP
84233,m,1979-07-14,2023-02-12T19:20:27,São Paulo,SP
32109,m,1994-03-04,2020-02-11T21:29:17,São Paulo,SP
84252,m,1991-11-20,2023-02-12T21:22:13,São Paulo,SP
75509,,2001-11-18,2022-12-05T10:41:59,Mesquita,RJ
96529,m,1990-09-20,2023-03-20T16:20:32,São Paulo,SP
100923,m,1993-11-22,2023-03-27T18:08:36,São Paulo,SP
54683,f,1989-04-08,2022-01-22T21:15:11,São Paulo,SP
54718,m,1980-02-28,2022-01-23T15:18:52,São Caetano do Sul,SP
54538,m,1987-07-08,2022-01-20T21:42:17,Ouro Branco,MG
94002,m,2003-06-02,2023-03-16T01:19:45,São Paulo,SP
53984,f,1972-04-23,2022-01-12T14:29:37,São Paulo,SP
48954,m,1991-09-30,2021-10-10T00:38:11,Juiz de Fora,MG
22642,m,1999-02-27,2019-09-21T17:25:30,Campinas,SP
71119,,1994-08-20,2022-11-15T13:56:52,Rio de Janeiro,RJ
26875,m,1970-05-29,2019-11-27T03:04:25,São José do Cedro,SC
974,m,1986-06-02,2017-10-20T22:55:11,São Paulo,SP
76566,,1985-02-07,2022-12-07T22:40:17,São Paulo,SP
6819,m,1985-02-22,2018-08-16T14:32:24,Mauá,SP
92536,m,1995-04-24,2023-03-13T18:29:59,São Paulo,SP
99742,m,1982-09-26,2023-03-25T21:47:03,São Paulo,SP
83340,m,1987-09-20,2023-02-06T16:34:55,São Paulo,SP
109494,m,2001-09-09,2023-04-11T00:46:03,São Paulo,SP
110848,m,1999-07-28,2023-04-13T13:28:26,São Paulo,SP
108160,m,2002-01-22,2023-04-08T17:58:55,São Paulo,SP
67379,,2000-12-04,2022-10-16T19:23:40,São João de Meriti,RJ
116611,m,1982-10-09,2023-04-19T12:35:52,São Paulo,SP
34056,m,1965-10-25,2020-03-20T23:34:05,Osasco,SP
116059,m,2002-05-14,2023-04-18T19:45:41,São Paulo,SP
110810,m,2001-10-11,2023-04-13T13:10:11,São Paulo,SP
65407,m,1971-10-14,2022-09-15T11:49:17,São Paulo,SP
107071,m,1995-08-09,2023-04-06T19:48:50,São Paulo,SP
101745,m,1997-06-16,2023-03-28T19:50:14,São Paulo,SP
84280,m,1995-09-07,2023-02-12T23:16:59,São Paulo,SP
47417,m,1988-08-01,2021-08-24T13:26:49,Americana,SP
61795,m,1996-07-16,2022-07-04T15:54:07,Jundiaí,SP
45327,m,1987-05-08,2021-04-01T20:27:52,São Paulo,SP
58595,m,2004-01-18,2022-04-17T10:49:39,Salvador,BA
102929,m,1979-08-02,2023-03-30T15:57:55,São Paulo,SP
53821,f,1989-12-30,2022-01-08T22:15:58,Ribeirão Preto,SP
57282,m,1987-06-12,2022-03-21T18:35:21,São Paulo,SP
112935,m,2001-08-19,2023-04-15T22:53:22,São Paulo,SP
13436,m,1986-03-13,2019-02-06T19:32:08,Rebouças,PR
102534,m,2004-05-06,2023-03-29T22:15:09,São Paulo,SP
63164,m,2002-07-28,2022-08-02T20:40:17,Fraiburgo,SC
11656,m,1995-12-14,2018-12-21T21:45:36,Curitiba,PR
87612,m,1992-06-18,2023-03-01T23:05:10,Presidente Prudente,SP
102314,m,2003-06-28,2023-03-29T16:48:14,São Paulo,SP
32136,m,1974-09-03,2020-02-12T14:17:25,Campo Belo do Sul,SC
59807,m,1995-04-14,2022-05-12T20:08:39,União da Vitória,PR
105027,m,1999-01-08,2023-04-03T11:18:59,São Paulo,SP
35434,m,1984-11-28,2020-04-23T17:08:54,Florianópolis,SC
114126,m,1983-03-26,2023-04-16T21:14:37,São Paulo,SP
86724,m,1996-08-28,2023-02-26T23:22:17,São Paulo,SP
104533,m,2000-04-13,2023-04-02T17:14:33,São Paulo,SP
51193,m,1995-09-03,2021-12-01T19:43:28,Brasília,DF
107928,m,1988-09-19,2023-04-08T10:49:57,São Paulo,SP
57846,f,1981-11-20,2022-04-02T18:35:36,São Paulo,SP
107390,m,1983-04-04,2023-04-07T11:59:13,São Paulo,SP
115597,m,1993-07-12,2023-04-18T08:27:13,São Paulo,SP
103611,m,2005-03-21,2023-03-31T17:57:16,São Paulo,SP
107102,m,1987-04-28,2023-04-06T20:50:41,São Paulo,SP
46889,m,1984-02-05,2021-07-31T11:32:52,São Paulo,SP
69300,,2002-02-07,2022-11-08T12:27:33,Cariacica,ES
72247,,1975-01-07,2022-11-21T07:28:09,Campinas,SP
101246,m,2002-12-17,2023-03-28T01:26:07,São Paulo,SP
94925,m,1989-02-07,2023-03-17T19:32:03,São Paulo,SP
82325,,1996-06-29,2023-01-27T13:19:55,São Paulo,SP
58993,m,1972-06-14,2022-04-22T18:53:49,São Paulo,SP
109797,m,1986-02-18,2023-04-11T18:15:20,São Paulo,SP
101493,m,1996-07-27,2023-03-28T14:25:43,São Paulo,SP
88587,m,1992-08-21,2023-03-03T10:12:22,São Paulo,SP
95223,m,1984-05-26,2023-03-18T08:45:08,São Paulo,SP
74946,,2003-04-22,2022-12-03T21:21:07,Andradina,SP
53224,m,1991-09-03,2021-12-28T15:04:07,Rio Brilhante,MS
99834,m,2004-03-04,2023-03-26T00:31:03,São Paulo,SP
94073,m,1985-09-14,2023-03-16T08:32:07,São Paulo,SP
72517,,1990-01-13,2022-11-22T20:01:32,Caxias,MA
112026,m,1999-06-09,2023-04-15T09:39:34,São Paulo,SP
9069,m,1983-03-26,2018-11-14T23:37:45,São Paulo,SP
113396,m,2001-11-14,2023-04-16T13:39:33,São Paulo,SP
105268,m,1993-07-11,2023-04-03T18:34:49,São Paulo,SP
19188,m,1978-03-11,2019-07-21T15:47:01,Senador Canedo,GO
115436,m,2002-01-31,2023-04-17T22:17:59,São Paulo,SP
83176,m,1998-11-24,2023-02-05T16:37:36,São Paulo,SP
42006,m,2000-12-15,2020-10-22T00:40:04,Bauru,SP
27962,m,1976-01-10,2019-12-11T13:52:52,São Caetano do Sul,SP
58639,m,1987-12-17,2022-04-18T02:04:01,Rio de Janeiro,RJ
68127,,2000-01-08,2022-10-27T01:28:19,São Paulo,SP
91778,m,2002-02-17,2023-03-12T08:24:21,São Paulo,SP
115961,m,1990-11-18,2023-04-18T18:31:20,São Paulo,SP
62166,m,1988-04-26,2022-07-13T14:15:32,Curitiba,PR
87881,m,1996-12-18,2023-03-02T14:47:04,São Paulo,SP
67260,,1971-08-14,2022-10-15T12:45:19,São Paulo,SP
46785,m,1980-03-09,2021-07-24T19:23:21,Taboão da Serra,SP
56818,m,1998-09-28,2022-03-11T15:44:20,Goiás,GO
85062,m,1997-09-24,2023-02-17T11:03:27,São Paulo,SP
97065,m,1989-07-17,2023-03-21T12:58:26,São Paulo,SP
73458,,1998-07-13,2022-11-27T03:24:58,São Paulo,SP
45804,m,1992-10-19,2021-05-16T00:54:04,São Bernardo do Campo,SP
88494,m,2000-08-21,2023-03-03T02:36:07,São Paulo,SP
92561,m,2004-12-31,2023-03-13T19:11:12,São Paulo,SP
109619,m,1992-02-28,2023-04-11T12:10:58,São Paulo,SP
86859,m,1995-09-01,2023-02-27T22:01:12,São Paulo,SP
37116,m,1994-05-06,2020-05-15T17:36:41,Curitiba,PR
107099,m,1995-05-29,2023-04-06T20:40:24,São Paulo,SP
112940,m,1996-06-13,2023-04-15T22:56:59,São Paulo,SP
32762,m,1996-08-13,2020-02-23T18:28:58,Cuiabá,MT
13714,m,1983-03-26,2019-02-16T15:37:42,Capivari,SP
96141,m,2002-09-08,2023-03-19T22:24:36,São Paulo,SP
93031,m,1999-01-08,2023-03-14T13:49:04,São Paulo,SP
95574,m,1977-03-04,2023-03-18T23:09:13,São Paulo,SP
103550,m,2003-04-01,2023-03-31T15:32:31,São Paulo,SP
112305,m,1992-08-19,2023-04-15T14:02:11,São Paulo,SP
79496,,1983-09-16,2022-12-16T01:14:46,Jacareí,SP
100967,m,1999-06-14,2023-03-27T18:45:33,São Paulo,SP
85369,m,2004-12-17,2023-02-19T12:14:00,São Paulo,SP
107924,m,1976-01-10,2023-04-08T10:38:29,São Paulo,SP
29501,m,1990-05-21,2020-01-03T22:43:18,São Paulo,SP
99188,m,1978-04-09,2023-03-25T00:34:44,São Paulo,SP
56687,m,1998-08-22,2022-03-09T16:31:18,Conselheiro Lafaiete,MG
112375,m,1994-08-05,2023-04-15T15:05:51,São Paulo,SP
108698,m,2002-07-31,2023-04-09T18:44:50,São Paulo,SP
107389,m,1983-09-29,2023-04-07T11:57:49,São Paulo,SP
86244,m,2002-07-19,2023-02-23T21:13:14,São Paulo,SP
112931,m,1986-10-13,2023-04-15T22:51:43,São Paulo,SP
83896,m,2004-04-06,2023-02-10T15:54:59,São Paulo,SP
65256,,1993-09-04,2022-09-13T12:19:52,São Paulo,SP
94064,m,1991-12-13,2023-03-16T07:39:20,São Paulo,SP
100002,m,1991-07-08,2023-03-26T11:27:24,São Paulo,SP
95444,m,1965-11-18,2023-03-18T19:40:45,São Paulo,SP
53715,m,1978-05-16,2022-01-07T09:40:44,Poxoréo,MT
71556,,1997-10-03,2022-11-17T22:33:22,Santa Inês,MA
116536,m,1985-01-11,2023-04-19T11:04:44,São Paulo,SP
58830,m,1995-08-24,2022-04-20T15:24:32,Vitória da Conquista,BA
61265,,1989-03-07,2022-06-19T18:48:54,Curitiba,PR
89792,m,1985-05-17,2023-03-07T02:18:15,São Paulo,SP
100822,m,1987-09-23,2023-03-27T15:32:11,São Paulo,SP
95393,m,1996-03-16,2023-03-18T18:26:49,São Paulo,SP
52047,m,1983-05-26,2021-12-15T16:29:22,Rio de Janeiro,RJ
52281,m,1977-09-02,2021-12-16T22:54:23,Petrolina,PE
72067,,1992-01-28,2022-11-20T09:47:17,São Luís,MA
97818,m,2000-10-26,2023-03-22T18:27:56,São Paulo,SP
